ADM3_EN,ADM3_FR,ADM3_PCODE,ADM2_PCODE,DATE,VALIDON
,Poli,CM006002002,CM006002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Porhi,CM004004006,CM004004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Pouma,CM005003011,CM005003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Rey-Bouba,CM006004002,CM006004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Saa,CM002002009,CM002002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Salapoumbe,CM003001003,CM003001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Sangmelima,CM009001007,CM009001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Santa,CM007005006,CM007005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Santchou,CM008005006,CM008005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Soa,CM002005008,CM002005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Somalomo,CM003002014,CM003002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Soulede-Roua,CM004006007,CM004006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Taibong,CM004004007,CM004004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Tchatibali,CM004003008,CM004003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ngong,CM006001011,CM006001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Tchollire,CM006004003,CM006004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Tibati,CM001001002,CM001001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Tignere,CM001002004,CM001002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Tiko,CM010001006,CM010001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Toko,CM010006009,CM010006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Tokombere,CM004005003,CM004005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Tombel,CM010002003,CM010002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Tonga,CM008007004,CM008007,2018-12-17 00:00:00,2019-01-04 00:00:00
,Touboro,CM006004004,CM006004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Touroua,CM006001012,CM006001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Tubah,CM007005007,CM007005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Upper Bayang,CM010004004,CM010004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Vele,CM004003009,CM004003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Wabane,CM010003003,CM010003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Waza,CM004002009,CM004002,2018-12-17 00:00:00,2019-01-04 00:00:00
,West-Coast,CM010001007,CM010001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Widikum,CM007006005,CM007006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Wina,CM004003010,CM004003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Wum,CM007004004,CM007004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Yabassi,CM005002003,CM005002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Yagoua,CM004003011,CM004003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Yaounde 1er,CM002007001,CM002007,2018-12-17 00:00:00,2019-01-04 00:00:00
,Yaounde 2e,CM002007002,CM002007,2018-12-17 00:00:00,2019-01-04 00:00:00
,Yaounde 3e,CM002007003,CM002007,2018-12-17 00:00:00,2019-01-04 00:00:00
,Yaounde 4e,CM002007004,CM002007,2018-12-17 00:00:00,2019-01-04 00:00:00
,Yaounde 5e,CM002007005,CM002007,2018-12-17 00:00:00,2019-01-04 00:00:00
,Yaounde 6e,CM002007006,CM002007,2018-12-17 00:00:00,2019-01-04 00:00:00
,Yaounde 7e,CM002007007,CM002007,2018-12-17 00:00:00,2019-01-04 00:00:00
,Yingui,CM005002004,CM005002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Yokadouma,CM003001004,CM003001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Yoko,CM002004005,CM002004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Zina,CM004002010,CM004002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Zoetele,CM009001008,CM009001,2018-12-17 00:00:00,2019-01-04 00:00:00
